 TICKER, NAME, TITLE, YEAR BORN
CET,Mr. Axel  Schmidt,Sr. VP of Engineering & Technology,NA
CEU,Mr. Kenneth E. Zinger,"Pres, CEO, Pres of Canadian Operations & Director",NA
CEU,Mr. Anthony Michael Aulicino,Chief Financial Officer,NA
CEU,Mr. Vernon James Disney,Pres of US Production Chemicals,NA
CEU,Richard L. Baxter,Pres of US Drilling Fluids,NA
CEU,Mr. Matthew S. Bell,Corp. Sec. & Legal Counsel,NA
CF,Mr. David Jonathan Kassie,Exec. Chairman,1956
CF,Mr. Daniel Joseph Daviau,"CEO, Pres & Director",1965
CF,Mr. Donald Duncan MacFayden,Exec. VP & CFO,NA
CF,Mr. Jeffrey  Barlow CFA,Pres of Canaccord Genuity LLC (U.S.),NA
CF,Mr. Marcus  Geoffrey John Freeman,Chief Exec. Officer of Canaccord Genuity Group (Asia-Pacific),NA
CF,Mr. Michel  Perera,Chief Investment Officer,NA
CF,Mr. Edward Raye Hirst,Managing Director Investment Banking,NA
CF,Mr. Gregory Le Sourd,Director,NA
CF,Mr. Dimitri  Prouvost,VP,NA
CF,Olivier  Dardel,Head of Paris Office,NA
CF-PA,Mr. David Jonathan Kassie,Exec. Chairman,1956
CF-PA,Mr. Daniel Joseph Daviau,"CEO, Pres & Director",1965
CF-PA,Mr. Donald Duncan MacFayden,Exec. VP & CFO,NA
CF-PA,Mr. Jeffrey  Barlow CFA,Pres of Canaccord Genuity LLC (U.S.),NA
CF-PA,Mr. Marcus  Geoffrey John Freeman,Chief Exec. Officer of Canaccord Genuity Group (Asia-Pacific),NA
CF-PA,Mr. Michel  Perera,Chief Investment Officer,NA
CF-PA,Mr. Edward Raye Hirst,Managing Director Investment Banking,NA
CF-PA,Mr. Gregory Le Sourd,Director,NA
CF-PA,Mr. Dimitri  Prouvost,VP,NA
CF-PA,Olivier  Dardel,Head of Paris Office,NA
CF-PC,Mr. David Jonathan Kassie,Exec. Chairman,1956
CF-PC,Mr. Daniel Joseph Daviau,"CEO, Pres & Director",1965
CF-PC,Mr. Donald Duncan MacFayden,Exec. VP & CFO,NA
CF-PC,Mr. Jeffrey  Barlow CFA,Pres of Canaccord Genuity LLC (U.S.),NA
CF-PC,Mr. Marcus  Geoffrey John Freeman,Chief Exec. Officer of Canaccord Genuity Group (Asia-Pacific),NA
CF-PC,Mr. Michel  Perera,Chief Investment Officer,NA
CF-PC,Mr. Edward Raye Hirst,Managing Director Investment Banking,NA
CF-PC,Mr. Gregory Le Sourd,Director,NA
CF-PC,Mr. Dimitri  Prouvost,VP,NA
CF-PC,Olivier  Dardel,Head of Paris Office,NA
CFF,Mr. Kenneth A. Shields,"Chairman, CEO & Pres",1949
CFF,"Ms. Winny  Tang C.A., CPA, CGA",CFO & Corp. Sec.,1979
CFF,Mr. Andrew  McLellan,VP & GM of Northern BC Operations,NA
CFP,Mr. Donald B. Kayne,"Pres, CEO & Director",1958
CFP,Mr. Patrick A. J. Elliott,CFO & Sr. VP of Sustainability,NA
CFP,Mr. David M. Calabrigo,Sr. VP of Corp. Devel. & Legal Affairs and Corp. Sec.,1959
CFP,Mr. Kevin  Pankratz,Sr. VP of Sales & Marketing,NA
CFP,Mr. Stephen  MacKie,Exec. VP of North American Operations,NA
CFP,Mr. Daniel  Barwin,Director of Corp. Fin.,NA
CFP,Ms. Michelle  Ward,Sr. Director of Communications and Gov. Relations,NA
CFP,Ms. Katy  Player,Sr. VP of People,NA
CFP,Mr. David  Trent,Sr. VP of Supply Chain & Digital,NA
CFP,Mr. Måns  Johansson,Chief Exec. Officer at Vida Group,NA
CFW,"Mr. Ronald P. Mathison B.Com., B.Comm (Hon), C.F.A., CPA, CA, CBV, CFA",Co-Founder & Chairman,1957
CFW,Mr. Douglas Robert Ramsay,Co-Founder & Independent Vice Chairman,1956
CFW,Mr. Lindsay Robert Link P.Eng.,"Pres, COO & Director",1961
CFW,Mr. Michael D. Olinek,Chief Financial Officer,NA
CFW,Mr. James Michael Brown,VP of Technical Services,NA
CFW,Mr. Freddie Lynn Toney,VP of Exec. Sales,NA
CFW,Mr. Patrick G. Powell,CEO & Director,1957
CFW,Jeffrey Irwin Ellis,Gen. Counsel & Corp. Sec.,NA
CFW,Mr. Gordon Troy Milgate,Pres of Canadian Division,NA
CFX,Mr. Patrick A. J. Elliott,CFO & Sr. VP of Sustainability,NA
CFX,Mr. Kevin  Anderson,VP of Operations & Innovation,1971
CFX,Mr. Kevin  Pankratz,Sr. VP of Sales & Marketing,NA
CFX,Mr. Brian  Yuen,VP of Pulp and Paper Sales & Marketing,NA
CFX,"Mr. Kevin  Edgson C.M.A., M.B.A.",Pres & CEO,1964
CFX,Mr. Daniel  Barwin,Director & Head of Corp. Fin.,NA
CFX,Mr. David M. Calabrigo,Sr. VP of Corp. Devel. & Legal Affairs and Corp. Sec.,1959
CFX,Ms. Michelle  Ward,Sr. Director of Communications and Gov. Relations,NA
CFX,Mr. Mark A. Feldinger,Sr. VP of Global Supply Chain,NA
CG,Mr. Paul Nicholas Wright B.Sc.,"Interim Pres, Interim CEO & Director",1954
CG,"Mr. Darren J. Millman CA, Bbus(Acc), Graddipacg",VP & CFO,1978
CG,Mr. Yousef  Rehman,"VP, Gen. Counsel & Corp. Sec.",1982
CG,Mr. Dennis C. Kwong,VP of Bus. Devel. & Exploration,1971
CG,Mr. Paul  Chawrun,VP & COO,NA
CG,Toby  Caron,Treasurer & Director of Investor Relations,NA
CG,Ms. Claudia  D'Orazio,VP & Chief HR Officer,1970
CG,Mr. Mark A. Wilson,Pres of Base Metals Division,1955
CG,Mr. Malcolm  Stallman,VP of Exploration,NA
CG,Ms. Wendy  Yu,Assistant Gen. Counsel & Assistant Corp. Sec.,NA
CGG,Mr. Junhu  Tong,Exec. Chairman & CEO,1963
CGG,Ms. Yuehe  Lu,Chief Financial Officer,1985
CGG,Mr. Zhongxin  Guo,Chief Engineer,1964
CGG,Mr. Weibin  Zhang,Exec. Director,1964
CGG,Ms. Na  Tian,Exec. Director,1981
CGG,Mr. Jerry  Xie,Exec. VP & Corp. Sec.,1961
CGG,Huan  Cai,Sr. Engineer,NA
CGG,Mr. Michael Lea Page,"Exec. VP, Consultant, Member of Management Team and Mang. of the JBS & Native Copper Projects",NA
CGG,Mr. Yuanhui  Fu,VP & Exec. Director,NA
CGG,Ms. Saundra  Karlson,Assistant Sec.,NA
CGI,Mr. Jonathan A. Morgan CIM,"Chief Exec. Officer, Pres and Director",NA
CGI,Mr. Frank C. Fuernkranz,"Chief Financial Officer, Treasurer and Sec.",NA
CGO,"Mr. Philippe  Jette Eng., P.Eng","Pres, CEO & Director",1965
CGO,"Mr. Patrice  Ouimet B.Com., C.A., CA, CPA, FCPA",Sr. VP & CFO,NA
CGO,Mr. Frederic  Perron B.Com.,Pres of Cogeco Connexion,NA
CGO,"Mr. Frank H. M. van der Post B.S., M.S.",Pres of Atlantic Broadband,1961
CGO,"Dr. Zouheir  Mansourati M.Sc., Ph.D.",Sr. VP & CTO,NA
CGO,Fatiha  Moussadak,Director of Investor Relations,NA
CGO,"Mr. Christian  Jolivet L.L.B., L.L.M., LLB, LLM",Sr. VP of Corp. Affairs & Chief Legal Officer,NA
CGO,Ms. Marie-Helene  Labrie M.Sc.,"Sr. VP and Chief Public Affairs, Communications & Strategy Officer",NA
CGO,Mr. Francois-Philippe  Lessard C.F.A.,VP of Corp. Devel.,NA
CGO,Ms. Linda  Gillespie,Sr. VP & Chief HR Officer,NA
CGX,"Mr. Ellis  Jacob CMA, F.C.A., F.C.M.A., FCA, FCPA, MBA","Pres, CEO & Director",1954
CGX,Mr. Gord  Nelson,Chief Financial Officer,NA
CGX,Mr. Dan  McGrath,Chief Operating Officer,NA
CGX,Mr. Fabrizio  Stanghieri,Exec. VP & MD of Cineplex Media,NA
CGX,Mr. Kevin  Watts,Exec. VP of Exhibition & Location Based Entertainment,NA
CGX,Mr. Scott  Hughes,Exec. VP and Chief Digital & Technology Officer,NA
CGX,Mahsa  Rejali,Exec. Director of Corp. Devel. & Investor Relations,NA
CGX,Mr. Thomas  Santram,"Sr. VP, Gen. Counsel & Corp. Sec.",NA
CGX,Sarah  Van Lange,Exec. Director of Communications,NA
CGX,Ms. Sara  Moore,Exec. VP & Chief Marketing Officer,NA
CGY,Mr. Kevin  Ford,"Pres, CEO & Director",NA
CGY,"Mr. Patrick  Houston C.A., CPA",CFO & Corp. Sec.,NA
CGY,Mr. Seann  Hamer,Chief Technology Officer,NA
CGY,Mr. Patrick Joseph Thera,Pres of Advanced Technologies,NA
CGY,Mr. Michael  Muldner,Chief Information Officer,NA
CGY,Ms. Jennifer F. McCaughey C.F.A.,Director of Investor Relations,NA
CGY,Ms. Sue  Ivay,Chief HR Officer,NA
CGY,Mr. Donald  Whitty,Pres of Learning,NA
CGY,Mr. Gordon  McDonald P.Eng.,Pres of Health Services,NA
CGY,Ms. Michele  Bedford,Chief Commercial Officer,NA
CHP-UN,Mr. Rael Lee Diamond CA,Pres & CEO,1977
CHP-UN,Mr. Mario  Barrafato,Chief Financial Officer,1965
CHP-UN,Ms. Ana  Radic,Exec. VP of Leasing & Operations,1972
CHP-UN,Ms. Doris L. Baughan,"Sr. VP, Gen. Counsel & Sec.",NA
CHP-UN,Mr. Mario  Fatica,Sr. VP of Construction & Devel.,NA
CHP-UN,Ms. Jennifer  Maccarone,VP of HR,NA
CHP-UN,Mr. Evan  Williams,Sr. VP of Retail Leasing,NA
CHP-UN,Mr. Andrew  Reial,Sr. VP of Office & Industrial,1979
CHP-UN,Mr. Salman  Hirani,VP of Asset Management & Devel.,NA
CHP-UN,Ms. Erin  Johnston,VP of Fin.,NA
CHR,Mr. Joseph D. Randell,"Pres, CEO & Non-Independent Director",1954
CHR,Mr. Gary James Osborne,Chief Financial Officer,NA
CHR,Mr. Colin L. Copp,COO & Pres of Chorus Aviation Services,NA
CHR,"Ms. M. Jolene Mahody F.C.A., FCPA",Exec. VP & Chief Strategy Officer,NA
CHR,Mr. Tyrone D. Cotie CA,VP of Treasury & Investor Relations,NA
CHR,Mr. Dennis M. L. Lopes,"Sr. VP, Chief Legal Officer & Corp. Sec.",NA
CHR,Ms. Laurel Ann Clark,VP of Corp. HR & Sustainability,NA
CHR,Mr. Scott  Tapson,Pres of Voyageur,NA
CHR,Mr. Carl  Kumpic,VP of Marketing & Sales - Chorus Aviation Services,NA
CHR,Mr. James Bruce Peddle,Chief Operating Officer of Chorus Aviation Capital,NA
CHW,Mr. Ryan  Marr,"Pres, CEO & Director",NA
CHW,Mr. Frederick W. Steiner,Co-Founder & Independent Director,NA
CHW,Mr. Tobias  Rajchel,CFO & Sec.,NA
CHW,Mike  Sheehan,Pres of Tandem Fin.,NA
CIA,Mr. William Michael O'Keeffe,Exec. Chairman,1953
CIA,Mr. David  Cataford Eng.,CEO & Non-Independent Director,NA
CIA,Mr. Alexandre  Belleau Eng.,Chief Operating Officer,NA
CIA,Mr. Steve  Boucratie,"Sr. VP, Gen. Counsel & Corp. Sec.",NA
CIA,Mr. Michael  Marcotte C.F.A.,Sr. VP of Corp. Devel. & Capital Markets,NA
CIA,Mr. Donald  Tremblay,Chief Financial Officer,NA
CIA,"Ms. Angela  Kourouklis CRIA, M.B.A.",Sr. VP of HR,NA
CIA,Mr. Nabil  Tarbouche P.Geo.,Sr. Geologist,NA
CIA,Mr. Philip John Mackey,Company Sec.,1958
CIA,Mr. Jorge  Estepa B.A.,Assistant Company Sec.,NA
CIGI,Mr. Jay Stewart Hennick CM,Global Chairman & CEO,1957
CIGI,Mr. Christian  Mayer,Chief Financial Officer,1973
CIGI,Mr. Elias  Mulamoottil,Co-Chief Investment Officer,1970
CIGI,Mr. Zachary  Michaud,Co-Chief Investment Officer,1983
CIGI,Ms. Rebecca  Finley,Chief Brand & People Officer,1976
CIGI,"Mr. Robert D. Hemming CGA, CPA",Sr. VP & Chief Accounting Officer,1968
CIGI,Mr. Matthew  Hawkins,"Head of National Office Agency & Devel. UK, VP, Legal Counsel and Corp. Sec.",1983
CIGI,Charlotte  Williams,Head of PR,NA
CIGI,Mr. Christopher Ross McLernon BA,Chief Exec. Officer of Real Estate Services Global,1965
CIGI,Mr. David  Bowden,Chief Exec. Officer of Colliers Real Estate Strategy & Consulting,NA
CIX,Mr. Kurt  MacAlpine,CEO & Director,1982
CIX,Mr. Darie P. Urbanky,Pres & COO,NA
CIX,"Mr. Amit  Muni CPA, CPA",Exec. VP & CFO,1969
CIX,Ms. Julie Lynn Silcox,Exec. VP & Chief Marketing Officer,NA
CIX,Mr. Marc-Andre  Lewis,Exec. VP & Head of Investment Management at CI Global Asset Management,NA
CIX,Mr. Jason Lee Weyeneth C.F.A.,VP of Investor Relations & Strategy,NA
CIX,"Mr. Edward Douglas Kelterborn BA, LLB",Exec. VP & Chief Legal Officer,NA
CIX,Mr. Murray  Oxby,VP of Communications,NA
CIX,Manisha  Burman,Exec. VP & Chief HR Officer,NA
CIX,Mr. Amarjit Kaur Anderson,Chief Risk Officer,NA
CJ,Mr. M. Scott Ratushny,Chairman & CEO,1965
CJ,"Mr. Shawn A. Van Spankeren C.M.A., CPA, CPA, CMA",Chief Financial Officer,1973
CJ,Mr. Dale John Orton,Chief Operating Officer,1973
CJ,Mr. Robert Ernest Law Wollmann,Sr. VP of Exploration,NA
CJ,Ms. Shannon Margaret  Gangl,Corp. Sec.,1963
CJR-B,"Ms. Heather Ann Shaw B.Com., BComm, M.B.A., MBA",Exec. Chairman,1960
CJR-B,"Mr. Douglas D. Murphy HBA, M.B.A., MBA","Pres, CEO & Director",1963
CJR-B,"Mr. John Richard Gossling F.C.A., FCPA, FCA",Exec. VP & CFO,1966
CJR-B,Mr. Troy  Reeb,Exec. VP of Broadcast Networks,NA
CJR-B,Mr. Gregory G. McLelland,Exec. VP & Chief Revenue Officer,NA
CJR-B,Mr. Shawn  Kelly,Exec. VP of Technology,NA
CJR-B,Julie  Edwards,VP of Facilities & Admin.,NA
CJR-B,Heidi  Kucher,Director of Investor Relations,NA
CJR-B,Ms. Jennifer  Lee,Exec. VP & Gen. Counsel,NA
CJR-B,Ms. Cheryl  Fullerton,Exec. VP of People & Communications,NA
CJT,Dr. Ajay Kumar Virmani MBA,"Founder, CEO, Pres & Director",1956
CJT,Mr. Jamie Bennett Porteous,Chief Strategy Officer,NA
CJT,Mr. Paul David Rinaldo,Sr. VP of Engineering & Maintenance,NA
CJT,Ms. Pauline  Dhillon,Chief Corp. Officer,NA
CJT,"Mr. John  Kim CPA, CA",Consultant,NA
CJT,Mr. Sanjeev  Maini,VP of Fin.,NA
CJT,Mr. Scott D. Calver,Chief Financial Officer,NA
CJT,Ms. Anju  Virmani,Chief Information Officer,1955
CJT,Mr. Fernando  Garcia,VP of Legal & Corp. Governance,NA
CJT,Mr. George  Sugar,Sr. VP of Regulatory Compliance,NA
CKI,Mr. George S. Armoyan P.Eng.,"Exec. Chairman, CEO & Pres",1960
CKI,"Mr. Tom  Casey C.A., CPA",Chief Financial Officer,NA
CKI,Mr. Robert  Sherman,Chief Operating Officer of Holloway Lodging Corp.,NA
CKI,Mr. Tomer  Cohen C.F.A.,VP of Investments,1985
CKI,Mr. Maksym  Levytskyy,Director of Investments,NA
CKI,Mr. Armen  Kakosyan,Investment Analyst,NA
CLS,Mr. Robert Andrew Mionis,"Pres, CEO & Director",1963
CLS,Mr. Mandeep  Chawla,Chief Financial Officer,1977
CLS,Mr. Jason  Phillips,Pres of Connectivity & Cloud Solutions,1975
CLS,Mr. Todd C. Cooper,Pres of Advanced Technology Solutions,1970
CLS,Mr. Yann L. Etienvre,Chief Operations Officer,1974
CLS,Mr. Shlomo  Bibas,Sr. VP & Chief Information Officer,NA
CLS,Mr. Todd  Melendy,VP of Sustainability & Compliance,NA
CLS,Mr. Robert Peter Ellis,Chief Legal Officer & Corp. Sec.,NA
CLS,Mr. Craig  Oberg,VP of Investor Relations & Corp. Devel.,NA
CLS,Ms. Leila  Wong,Chief HR Officer,NA
CM,Mr. Victor G. Dodig,"Pres, CEO & Director",1966
CM,Mr. Hratch  Panossian,"Sr. EVP, CFO and Head of Enterprise Strategy",NA
CM,Mr. Michael G. Capatides,Vice-Chair of CIBC Bank USA,NA
CM,Mr. Harry K. Culham,Sr. EVP and Group Head of Capital Markets & Direct Financial Services,NA
CM,Ms. Laura L. Dottori-Attanasio,Sr. EVP & Group Head of Personal and Bus. Banking - Canada,1968
CM,Mr. Roman  Dubczak,Head of Global Investment Banking & MD,NA
CM,Ms. Christina C. Kramer,"Sr. EVP and Group Head of Technology, Infrastructure & Innovation",NA
CM,Ms. Kikelomo  Lawal,Exec. VP & Chief Legal Officer,NA
CM,Ms. Sandra R. Sharman,"Sr. EVP and Group Head of People, Culture & Brand",1963
CM,Mr. John P. Ferren,Sr. VP of Deposit Products & Analytics,NA
CM-PP,Mr. Victor G. Dodig,"Pres, CEO & Director",1966
CM-PP,Mr. Hratch  Panossian,"Sr. EVP, CFO and Head of Enterprise Strategy",NA
CM-PP,Mr. Michael G. Capatides,Vice-Chair of CIBC Bank USA,NA
CM-PP,Mr. Harry K. Culham,Sr. EVP and Group Head of Capital Markets & Direct Financial Services,NA
CM-PP,Ms. Laura L. Dottori-Attanasio,Sr. EVP & Group Head of Personal and Bus. Banking - Canada,1968
CM-PP,Mr. Roman  Dubczak,Head of Global Investment Banking & MD,NA
CM-PP,Ms. Christina C. Kramer,"Sr. EVP and Group Head of Technology, Infrastructure & Innovation",NA
CM-PP,Ms. Kikelomo  Lawal,Exec. VP & Chief Legal Officer,NA
CM-PP,Ms. Sandra R. Sharman,"Sr. EVP and Group Head of People, Culture & Brand",1963
CM-PP,Mr. John P. Ferren,Sr. VP of Deposit Products & Analytics,NA
CM-PQ,Mr. Victor G. Dodig,"Pres, CEO & Director",1966
CM-PQ,Mr. Hratch  Panossian,"Sr. EVP, CFO and Head of Enterprise Strategy",NA
CM-PQ,Mr. Harry K. Culham,Sr. EVP and Group Head of Capital Markets & Direct Financial Services,NA
CM-PQ,Ms. Laura L. Dottori-Attanasio,Sr. EVP & Group Head of Personal and Bus. Banking - Canada,1968
CM-PQ,Mr. Michael G. Capatides,"Sr. EVP, Group Head of US Region and Pres & CEO of CIBC Bank USA",NA
CM-PQ,Mr. Roman  Dubczak,Head of Global Investment Banking & MD,NA
CM-PQ,Ms. Christina C. Kramer,"Sr. EVP and Group Head of Technology, Infrastructure & Innovation",NA
CM-PQ,Ms. Kikelomo  Lawal,Exec. VP & Chief Legal Officer,NA
CM-PQ,Ms. Sandra R. Sharman,"Sr. EVP and Group Head of People, Culture & Brand",1963
CM-PQ,Mr. John P. Ferren,Sr. VP of Deposit Products & Analytics,NA
CM-PT,Mr. Victor G. Dodig,"Pres, CEO & Director",1966
CM-PT,Mr. Hratch  Panossian,"Sr. EVP, CFO and Head of Enterprise Strategy",NA
CM-PT,Mr. Michael G. Capatides,Vice-Chair of CIBC Bank USA,NA
CM-PT,Mr. Harry K. Culham,Sr. EVP and Group Head of Capital Markets & Direct Financial Services,NA
CM-PT,Ms. Laura L. Dottori-Attanasio,Sr. EVP & Group Head of Personal and Bus. Banking - Canada,1968
CM-PT,Mr. Roman  Dubczak,Head of Global Investment Banking & MD,NA
CM-PT,Ms. Christina C. Kramer,"Sr. EVP and Group Head of Technology, Infrastructure & Innovation",NA
CM-PT,Ms. Kikelomo  Lawal,Exec. VP & Chief Legal Officer,NA
CM-PT,Ms. Sandra R. Sharman,"Sr. EVP and Group Head of People, Culture & Brand",1963
CM-PT,Mr. John P. Ferren,Sr. VP of Deposit Products & Analytics,NA
CM-PY,Mr. Victor G. Dodig,"Pres, CEO & Director",1966
CM-PY,Mr. Hratch  Panossian,"Sr. EVP, CFO and Head of Enterprise Strategy",NA
CM-PY,Mr. Michael G. Capatides,Vice-Chair of CIBC Bank USA,NA
CM-PY,Mr. Harry K. Culham,Sr. EVP and Group Head of Capital Markets & Direct Financial Services,NA
CM-PY,Ms. Laura L. Dottori-Attanasio,Sr. EVP & Group Head of Personal and Bus. Banking - Canada,1968
CM-PY,Mr. Roman  Dubczak,Head of Global Investment Banking & MD,NA
CM-PY,Ms. Christina C. Kramer,"Sr. EVP and Group Head of Technology, Infrastructure & Innovation",NA
CM-PY,Ms. Kikelomo  Lawal,Exec. VP & Chief Legal Officer,NA
CM-PY,Ms. Sandra R. Sharman,"Sr. EVP and Group Head of People, Culture & Brand",1963
CM-PY,Mr. John P. Ferren,Sr. VP of Deposit Products & Analytics,NA
CMG,"Ms. Sandra  Balic C.A., CPA, CA, CPA",VP of Fin. & CFO,NA
CMG,Mr. Pramod  Jain,"Pres, CEO & Director",1981
CMG,Mr. John  Mortimer P. Eng,Chief Technology Officer,NA
CMG,Kristin  Mason,Mang. of Admin. & Compliance,NA
CMG,Daniel  Edelshaim,Head of Legal,NA
CMG,Mohammad  Khalaf,Head of Corp. Devel.,NA
CMG,Sheldon  Harbinson,Head of Sales Operations,NA
CMG,Ms. Krisztina  Howery MBA,Head of Marketing,NA
CMG,Kristina  Mysev,Head of People & Culture,NA
CMG,Rahul  Jain,Head of Bus. Operations,NA
CMMC,Mr. Gilmour  Clausen P.Eng.,"Pres, CEO & Director",1957
CMMC,"Ms. Letitia  Wong B.Com., C.F.A.",Chief Financial Officer,1982
CMMC,"Mr. Donald  Strickland B.Sc., P.Eng.",Chief Operating Officer,NA
CMMC,Mr. Richard  Klue B.Com.,VP of Technical Services,1961
CMMC,"Mr. Matthew  Langford B.Com., L.L.B.","VP, Gen. Counsel & Corp. Sec.",NA
CMMC,Ms. Bryony  White B.A.,VP of People,NA
CMMC,Mr. Lance C. Newman B.Sc.,Sr. VP of Project Devel.,NA
CMMC,"Mr. Bradley James Bolger B.Com., C.A., CPA, L.L.M.",Sr. VP of Fin.,NA
CMMC,Mr. Patrick  Redmond Ph.D.,Sr. VP of Exploration & Geoscience,NA
CMMC,Mr. Richard J. Joyes BSc. Geo,Sr. Exploration Geologist,NA
CNE,"Dr. Charle A. Gamba B.Sc., MSc., Ph.D.","Pres, CEO & Director",1964
CNE,"Mr. Jason Michael Bednar B.Comm., CA",Chief Financial Officer,1971
CNE,Mr. Ravi  Sharma,Chief Operating Officer,NA
CNE,Mr. Anthony Amar Zaidi,"VP of Bus. Devel., Gen. Counsel & Corp. Sec.",NA
CNE,Ms. Carolina  Orozco,VP of Investor Relations & Communications,NA
CNE,Ms. Tracy Lynn Whitmore,VP of Tax & Corp. Affairs,NA
CNE,"Mr. William M. Satterfield B.Sc., MA",Sr. VP of Exploration,1962
CNE,Mr. Thomas  Lutz,Pres of Canacol Energy Colombia,NA
CNQ,Mr. Norman Murray Edwards O.C.,Exec. Chairman,1960
CNQ,Mr. Timothy Shawn McKay,Pres & Director,1962
CNQ,Mr. Mark A. Stainthorpe C.F.A.,CFO & Sr. VP of Fin.,1978
CNQ,Mr. Scott G. Stauth,Chief Operating Officer of Oil Sands,1966
CNQ,Mr. Darren M. Fichter,Chief Operating Officer of Exploration & Production,1971
CNQ,Mr. Ronald Dae Jung  Kim C.A.,Principal Accounting Officer & VP of Fin.,NA
CNQ,Mr. Joy P. Romero,Vice-Pres of Technology & Innovation,1957
CNQ,Mr. Stephen C. Suche,Vice-Pres of Information & Corp. Services,1960
CNQ,Lance J. Casson,Mang. of Investor Relations,NA
CNQ,Paul M. Mendes,"VP of Legal, Gen. Counsel & Corp. Sec.",1966
CNR,Mr. Ghislain  Houle,Exec. VP & CFO,1964
CNR,Mr. Dominique  Malenfant,Exec. VP and Chief Information & Technology Officer,1962
CNR,Ms. Tracy A. Robinson,"Pres, CEO & Director",1964
CNR,Mr. Edmond L. Harris,Exec. VP & COO,1950
CNR,Mr. Olivier  Chouc,Sr. VP & Chief Legal Officer,NA
CNR,Jonathan  Abecassis,Sr. Mang. of Media Relations,NA
CNR,Mr. Doug  MacDonald,Exec. VP & Chief Marketing Officer,NA
CNR,Ms. Dorothea  Klein,Sr. VP & Chief HR Officer,NA
CNR,Mr. Keith Donald Reardon,Sr. Vice-Pres of Consumer Product Supply Chain Growth,NA
CNR,Mr. Matthew  Barker,Sr. VP of Network Technology & Operations Planning,NA
CNT,"Mr. Chun-Kwan  Chim C.A., CPA, CA, CPA, M.B.A., MBA","Chairman, Pres & CEO",1956
CNT,Ms. Wai Sze  Leung,CFO & Co-Sec.,NA
CNT,Mr. Chun Wa  Wong,Sr. VP of Corp. Fin. & Project Devel.,1974
CNT,Mr. Allan  Gan P.Geo,Director of Exploration,NA
CNT,Mr. Denis S.  Frawley,Co-Sec.,NA
CNT,Mr. Stephen D. Wortley,Assistant Corp. Sec.,1959
COG,Mr. Mark Lucian Child,CEO & Director,1962
COG,"Mr. Jeffrey Laszlo Karoly A.C.A., ACA, B.Sc., BSc(hons)",Chief Financial Officer,1968
COG,Mr. Andrew  Pearce,Chief Financial Officer,NA
COG,"Mr. Gerald David Crawford B.Sc., M.B.A., P.E.",Chief Technical Officer,NA
COG,Mr. Mario E. Rivas Castillo,Mang. of Admin. & Logistics,NA
COG,Ms. Silvia Irene Perez,Health & Safety and HR Officer,NA
COG,Mr. Armando Jose Tercero Gamez Ing Geol,Sr. Geologist,NA
COG,Dr. Luc  English,Sr. Resident Geologist,NA
COG,"Mr. Carlos  Pullinger BSc, MSc",Sr. Geologist,NA
COG,Jamil Robleto Molina,Environmental Mang.,NA
CP,Mr. Keith E. Creel,"CEO, Pres & Director",1969
CP,Mr. Nadeem S. Velani,Exec. VP & CFO,1973
CP,Mr. Mark A. Redd,Exec. VP of Operations,1971
CP,Mr. Jeffrey J. Ellis,Chief Legal Officer & Corp. Sec.,1968
CP,Mr. John Kenneth Brooks,Exec. VP & Chief Marketing Officer,1971
CP,Mr. Ian Robert-Raymond Gray,VP of Financial Planning & Accounting,NA
CP,Ms. Pamela Lynne Arpin,VP & Chief Information Officer,1976
CP,Chris  de Bruyn,Managing Director of Investor Relations & Treasury,NA
CP,Mr. Chad  Rolstad,VP of HR & Chief Culture Officer,1977
CP,Mr. Laird Joseph Pitz,Sr. VP & Chief Risk Officer,1945
CPG,Mr. Craig  Bryksa,"Pres, CEO & Non-Independent Director",1977
CPG,"Mr. Kenneth R. Lamont B.Com., BComm., C.A., CA",Chief Financial Officer,1959
CPG,"Mr. Ryan Chad Raymond Gritzfeldt BASc., P.Eng.",Chief Operating Officer,NA
CPG,Mr. Mark G. Eade,"Sr. VP, Gen. Counsel & Corp. Sec.",NA
CPG,Mr. Garret  Holt,Sr. VP of Corp. Devel.,NA
CPG,Sarfraz  Somani,Mang. of Investor Relations,NA
CPG,Mr. Justin  Foraie,VP of Engineering & Marketing,NA
CPG,Ms. Lisa  Watson,VP of HR & Corp. Services,NA
CPG,Mr. Shant  Madian,VP of Capital Markets,NA
CPG,Mr. Mike  Blair,VP of Exploration & New Ventures,NA
CPH,Mr. Craig J. Mull,Interim CEO & Chairman,NA
CPH,Dr. Diane  Gajewczyk,VP of Scientific & Medical Affairs,NA
CPH,Mr. Bryan  Jacobs,Chief Financial Officer,NA
CPH,Mr. Emilio  Presti,"Director of Sales, Marketing & Hospital Bus.",NA
CPH,Chuoru  Li,Corp. Controller,NA
CPH,David  Miller,Director of Fin.,NA
CPLF,Ms. Judith M. Hess,CEO & Director,1959
CPLF,Mr. Paul  Sakrzewski,Pres & Director,NA
CPLF,Mr. Christopher F. Allen,Chief Financial Officer,NA
CPLF,Mr. Stefan  Sadnicki,Managing Director of EMEA,NA
CPLF,"Ms. Sandra R. MacKay J.D., LLB",VP of Legal & Corp. Sec.,1960
CPLF,Mr. Boudewijn  Neijens,Chief Marketing Officer,NA
CPLF,Ms. Dawen  Nozdryn-Plotnicki,Managing Director of Americas,NA
CPLF,Mr. Rob  Tanner,Managing Director of Asia Pacific & Japan,NA
