 TICKER, NAME, TITLE, YEAR BORN
AD-UN,Ms. LiAnn  Truong P.M.P.,Mang. of Corp. Communications,NA
AD-UN,Ms. Elizabeth Teresa McCarthy,Sr. VP of Legal,NA
AD-UN,Mr. Devin  Timberlake CFA,Vice-Pres of Bus. Devel.,NA
AD-UN,Mr. Shawn  Ostrow,VP of Bus. Devel.,NA
AD-UN,Ms. Deanne  Erker C.A.,Controller,NA
ADCO,Mr. Omri  Brill,"Founder, Pres, CEO & Chairman",1974
ADCO,Mr. Yatir  Sadot CPA,Chief Financial Officer,NA
ADCO,Mr. Roy  Nevo,COO & Non-Independent Director,1975
ADCO,Mr. Jason A. Saltzman,External Legal Counsel,1971
ADCO,Mr. Vadim  Malkin,Chief Technology Officer,NA
ADCO,Mr. Yossi  Elchanan,Chief Marketing Officer,NA
ADCO,Mr. Gal  Itkin,Head of Adcore Greater China,NA
ADCO,Ms. Lilach  Kroll,Head of Digital Advter.,NA
ADCO,Mr. Martijn  Van den Bemd,Chief Partnership Officer,NA
ADCO,Ms. Lilach  Shazar,Head of Digital Advter.,NA
ADEN,Mr. Robert J. Brown,"Pres, CEO & Director",NA
ADEN,Mr. Faiz H. Karmally,"VP, CFO & Sec.",NA
ADEN,Mr. Lance R. Blanco,Sr. VP of Corp. Devel.,NA
ADEN,Mr. Daniel A. Besen,Sr. VP of Hardwoods USA,1958
ADEN,Mr. Drew H. Dickinson,Pres of Rugby Architectural Building Products,NA
ADEN,Ian  Tharp,Investor Relations,NA
ADEN,Ms. Renee  Murdoch,VP of HR,NA
ADEN,Mr. David  Hughes,Sr. VP of Acquisitions,NA
ADEN,Mr. Jeffrey W. Leys,Pres & COO of Novo Building Products,NA
ADN,Mr. Adam  Sheparski,"Pres, CEO, COO & Director",NA
ADN,Ms. Susan  Wood,CFO & Director of Fin.,NA
ADN,Mr. Kevin  Topolniski,Chief Forester,NA
ADN,Ms. Leigh  Tang,Corp. Sec. and Mang. of Bus. & Corp. Services,NA
ADN,Helen  Mui,Controller,NA
ADW-A,Mr. John E. Peller,"Chairman, Pres & CEO",NA
ADW-A,Mr. Brendan P. Wall,Exec. Vice-Pres of Operations,NA
ADW-A,Mr. Patrick R. O'Brien,Chief Commercial Officer,NA
ADW-A,Mr. Steven J. Attridge,Sec.,NA
ADW-A,Mr. Paul  Dubkowski,CFO & Exec. VP of Information Technology,NA
ADW-A,Jose  Salgado,VP of VQA & DTC Division and Legal Counsel,NA
ADW-A,Ms. Sara E. Presutto,Exec. Vice-Pres of People & Culture,NA
ADW-A,Mr. James H. Cole,Exec. Vice-Pres of Bus. to Consumer,NA
ADW-B,Mr. John E. Peller,"Chairman, Pres & CEO",NA
ADW-B,Mr. Brendan P. Wall,Exec. Vice-Pres of Operations,NA
ADW-B,Mr. Patrick R. O'Brien,Chief Commercial Officer,NA
ADW-B,Mr. Steven J. Attridge,Sec.,NA
ADW-B,Mr. Paul  Dubkowski,CFO & Exec. VP of Information Technology,NA
ADW-B,Jose  Salgado,VP of VQA & DTC Division and Legal Counsel,NA
