 TICKER,DATE,PERIOD,GROWTH,EARNINGS ESTIMATE AVG,EARNINGS ESTIMATE LOW,EARNINGS ESTIMATE HIGH,EARNINGS ESTIMATE YEAR AGO EPS,EARNINGS ESTIMATE NUMBER OF ANALYSTS,EARNINGS ESTIMATE GROWTH,REVENUE ESTIMATE AVG,REVENUE ESTIMATE LOW,REVENUE ESTIMATE HIGH,REVENUE ESTIMATE YEAR AGO EPS,REVENUE ESTIMATE NUMBER OF ANALYSTS,REVENUE ESTIMATE GROWTH,EPS TREND CURRENT,EPS TREND7DAYS AGO,EPS TREND30DAYS AGO,EPS TREND60DAYS AGO,EPS TREND90DAYS AGO,EPS REVISIONS UP LAST7DAYS,EPS REVISIONS UP LAST30DAYS,EPS REVISIONS DOWN LAST7DAYS,EPS REVISIONS DOWN LAST30DAYS
SADBHAV,2018-09-30,0q,-0.0510,1.8500,0.5300,2.6800,1.9500,4.0000,-0.0510,7682200000.00,6097000000.00,8663000000.00,,10.00,0.1080,1.8500,1.8500,1.6700,0.5300,0.5300,0.0000,0.0000,0.0000,
SADBHAV,2018-06-30,0q,0.1730,3.7900,3.5000,4.5200,3.2300,6.0000,0.1730,10169100000.00,8932000000.00,10955000000.00,,13.00,0.0770,3.7900,3.7900,3.8200,4.0500,3.5000,0.0000,0.0000,0.0000,
SADBHAV,2018-03-31,0y,0.1740,12.7300,6.5000,14.8000,10.8400,25.0000,0.1740,37612500000.00,36413000000.00,39318000000.00,,24.00,0.1330,12.7300,12.7300,12.7200,12.7700,12.6700,1.0000,6.0000,0.0000,
SADBHAV,2017-12-31,0q,0.2060,3.6900,3.2000,4.3000,3.0600,5.0000,0.2060,9812140000.00,9254000000.00,10306000000.00,,13.00,0.1350,3.6900,3.6900,3.5900,3.3500,3.4100,0.0000,0.0000,0.0000,
SADBHIN,2020-03-31,+1y,0.8560,0.0000,0.0000,0.0000,-1.4600,0.0000,0.8560,37820500000.00,34536000000.00,41105000000.00,,2.00,0.1390,0.0000,-3.4500,-3.4500,-3.4500,-3.4500,0.0000,0.0000,0.0000,0.0000
SADBHIN,2019-03-31,0y,0.8440,0.0000,0.0000,0.0000,-9.3400,0.0000,0.8440,33199500000.00,33102000000.00,33297000000.00,,2.00,0.4590,0.0000,-3.4500,-3.4500,-3.4500,-3.4500,0.0000,0.0000,0.0000,0.0000
SADBHIN,2018-12-31,+1q,,0.0000,0.0000,0.0000,-1.1300,0.0000,,7097000000.00,7097000000.00,7097000000.00,,1.00,0.1370,0.0000,-1.0400,-1.0400,-1.0400,-1.0400,0.0000,0.0000,0.0000,0.0000
SADBHIN,2018-09-30,0q,,0.0000,0.0000,0.0000,-2.5800,0.0000,,8488970000.00,6736000000.00,6736000000.00,,1.00,1.1820,0.0000,-2.1800,-2.1800,-2.1800,-2.1800,0.0000,0.0000,0.0000,0.0000
SADBHIN,2018-06-30,0q,0.5120,-1.6100,-1.6100,-1.6100,-3.3000,1.0000,0.5120,6635000000.00,6635000000.00,6635000000.00,,1.00,0.3220,-1.6100,-1.6100,-1.6100,-1.4000,-1.4000,0.0000,0.0000,0.0000,
SAGCEM,2024-03-31,+1y,4.8020,8.0600,5.0000,10.7000,-2.1200,7.0000,4.8020,25604600000.00,22824000000.00,26802000000.00,,8.00,0.1430,8.0600,8.0600,9.0800,9.2400,12.0700,0.0000,0.0000,,0.0000
