 TICKER, CODE, EXCHANGE, NAME
INE,3IX,F,Innergex Renewable Energy Inc
ITH,THM,US,International Tower Hill Mines Ltd
IVN,IYAA,F,Ivanhoe Mines Ltd
IVN,IYAA,BE,IVANHOE MINES-A
K,KGC,US,Kinross Gold Corp
KEL,2KE,F,Kelt Exploration Ltd
KEY,,,
KEY,K2Y,F,Keyera Corp
KLS,KIQ,US,Kelso Technologies Inc
KRN,K1N,F,Karnalyte Resources Inc
LABS,MLZ,STU,MLZ
LABS,MLZ,BE,MILANO ASS.
LABS,MLZ,F,MediPharm Labs Corp
LAC,LAC,US,Lithium Americas Corp
LAC,WUC1,F,Lithium Americas Corp
LAM,L4R,BE,LARAMIDE RESOURCES
LAM,L4R,F,Laramide Resources Ltd
LAM,L4R,STU,LARAMIDE RESOURCES (L4R.SG)
LAM,LAM,AU,Laramide Resources Ltd
LGD,PGW,STU,Pilot Gold Inc
LGD,PGW,F,Liberty Gold Corp
LUC,LUC,F,Crusader Resources Limited
LUC,LUC,STU,CRUSADER RES (LUC.SG)
LUC,LUC,BE,CRUSADER RES
LUG,F1YN,F,Lundin Gold Inc
MAG,MAG,US,MAG Silver Corp
MAXR,MAXR,US,Maxar Technologies Inc
MDI,MDI,F,Mineral Deposits Limited
MDNA,MDNA,US,Medicenna Therapeutics Corp
MG,MGA,US,Magna International Inc
MG,MGA,F,Magna International Inc
MIN,3XS,F,Excelsior Mining Corp
MIN,3XS,STU,EXCELSIOR MNG (3XS.SG)
MIN,3XS,BE,EXCELSIOR MNG
MMX,MMX,US,Maverix Metals Inc
MTL,9MU,F,Mullen Group Ltd
MTL,9MU,BE,MULLEN GROUP
MTY,9MF,F,MTY Food Group Inc
MUX,MUX,US,McEwen Mining Inc.
MUX,US8A,F,McEwen Mining Inc
MUX,US8A,XETRA,Mcewen Mining Inc
MX,MEOH,US,Methanex Corporation
NCP,P94P,F,Nickel Creek Platinum Corp
NCP,P94P,BE,PROPHECY PLATINUM
NCP,P94P,STU,WELLGREEN PLATINUM (P94P.SG)
NDM,NAK,US,Northern Dynasty Minerals Ltd
NG,NG,US,NovaGold Resources Inc
NG,NGR,F,NovaGold Resources Inc
NGD,NGD,US,New Gold Inc
NGT,NEM,US,Newmont Goldcorp Corp
NOA,N5Z,F,North American Construction Group Ltd
NOA,NOA,US,North American Construction Group Ltd
NPK,,,
NPK,AZA,F,Verde Agritech Plc
NPK,AZA,BE,VERDE POTASH
